sentence_id,sentence,code_switch,aspect,opinion,valence,arousal
32,aap log bhi apne desh ko support karo aur india ke offline business ko support karo aur ek achcha insan bano justicefortraders,aap:HI log:HI bhi:HI apne:HI desh:HI ko:HI support:EN karo:HI aur:HI india:EN ke:HI offline:EN business:EN ko:HI support:EN karo:HI aur:HI ek:HI achcha:HI insan:HI bano:HI justicefortraders:HI,desh,support karo,0.816,0.561
206,uparseh kuch parents toh parrahi ko sab samjh keh itna paise bhar dete aur woh angrez log phirbih fee mangthe hai 4 some ppl its really hard toppers ko ehmiyat nai milti degrees wagera lene keh baad bih end meh bande ko apne appko sambalne keh liye yeh sab kuch nai kaam ata,uparseh:HI kuch:HI parents:EN toh:HI parrahi:HI ko:HI sab:HI samjh:HI keh:HI itna:HI paise:HI bhar:HI dete:HI aur:HI woh:HI angrez:HI log:HI phirbih:HI fee:EN mangthe:HI hai:HI 4:EN some:EN ppl:EN its:EN really:EN hard:EN toppers:EN ko:HI ehmiyat:HI nai:HI milti:HI degrees:EN wagera:HI lene:HI keh:HI baad:HI bih:EN end:EN meh:HI bande:HI ko:HI apne:HI appko:HI sambalne:HI keh:HI liye:HI yeh:HI sab:HI kuch:HI nai:HI kaam:HI ata:HI,parrahi,sab samjh keh itna paise bhar dete,0.35,0.45
401,nature ke liye toh jitna bhi likhiye utna hi kam hain kyunki uparwale ne nature ko itna pyaara banaya hain aur nature apne pyaarepan se hamesha khushi hi deta hain sabhi dekhiye ki tree ped ki ek tehni par pattiyaan bhi lagti hain phuul bhi khilte hain,nature:EN ke:HI liye:HI toh:HI jitna:HI bhi:HI likhiye:HI utna:HI hi:HI kam:HI hain:HI kyunki:HI uparwale:HI ne:HI nature:EN ko:HI itna:HI pyaara:HI banaya:HI hain:HI aur:HI nature:EN apne:HI pyaarepan:HI se:HI hamesha:HI khushi:HI hi:HI deta:HI hain:HI sabhi:HI dekhiye:HI ki:HI tree:EN ped:HI ki:HI ek:HI tehni:HI par:HI pattiyaan:HI bhi:HI lagti:HI hain:HI phuul:HI bhi:HI khilte:EN hain:HI,ped,ek tehni par pattiyaan bhi lagti hain phuul bhi khilte hain,0.732,0.386
49,har ek hindustani apne hindustani kam ko support karta hai isliye ham traders ko support kar rahe hain justicefortraders,har:HI ek:HI hindustani:HI apne:HI hindustani:HI kam:HI ko:HI support:EN karta:HI hai:HI isliye:HI ham:HI traders:EN ko:HI support:EN kar:HI rahe:HI hain:HI justicefortraders:HI,hindustani kam,support karta hai,0.796,0.536
456,sir mai private job krta hu bt income itna hi ho pata hai jis se ghar chal sake bt mai or jyada paisa kamana chahta hu taki apne sapno ko hakikat me badal saku apne desh ke liye olympic me gold medal jit saku pr koi rasta nhi mil rha,sir:HI mai:HI private:EN job:EN krta:HI hu:HI bt:HI income:EN itna:HI hi:HI ho:HI pata:HI hai:HI jis:HI se:HI ghar:HI chal:HI sake:HI bt:HI mai:HI or:EN jyada:HI paisa:HI kamana:HI chahta:HI hu:HI taki:HI apne:HI sapno:HI ko:HI hakikat:HI me:HI badal:HI saku:HI apne:HI desh:HI ke:HI liye:HI olympic:EN me:HI gold:EN medal:EN jit:HI saku:HI pr:EN koi:HI rasta:HI nhi:HI mil:HI rha:HI,job,private job krta hu bt income itna hi ho pata hai jis se ghar chal sake,0.518,0.484
158,bhai gunde hote to waha bhete bhete 500log apna jaan nhi gawate agar apne aap ko katat hindu bolte ho to hai himat apne govt ko bole ki goa me beef ban kyu nhi hai kaha gai hinduvad ki sarkar goa me beef ban kyu nhi karwa pa rhi hai bcoz inko sirf vote chaiye hinduo se matlb nhi,bhai:HI gunde:HI hote:HI to:HI waha:HI bhete:HI bhete:HI 500log:HI apna:HI jaan:HI nhi:HI gawate:HI agar:HI apne:HI aap:HI ko:HI katat:HI hindu:EN bolte:HI ho:HI to:HI hai:HI himat:HI apne:HI govt:EN ko:HI bole:HI ki:HI goa:EN me:HI beef:EN ban:EN kyu:HI nhi:HI hai:HI kaha:HI gai:HI hinduvad:HI ki:HI sarkar:HI goa:EN me:HI beef:EN ban:EN kyu:HI nhi:HI karwa:HI pa:HI rhi:HI hai:HI bcoz:EN inko:HI sirf:HI vote:EN chaiye:HI hinduo:HI se:HI matlb:HI nhi:HI,sarkar,hinduvad ki sarkar goa me beef ban kyu nhi karwa pa rhi hai,0.232,0.65
332,isliye yehi badi hai are to riste me koi hogi bihata ki nahi ab chhodo ye sab dhode din ke liye ladki ko apne ghar le jaiye aaega baad me lene ladka aur ladki ko samjhaiye meri bahan video dekh rahi thi main chali gai room me mai dekhi bhag ke bahar aagai chhi didi kya dekh rahi,isliye:HI yehi:HI badi:HI hai:HI are:EN to:EN riste:HI me:HI koi:HI hogi:HI bihata:HI ki:HI nahi:HI ab:HI chhodo:HI ye:HI sab:HI dhode:HI din:HI ke:HI liye:HI ladki:HI ko:HI apne:HI ghar:HI le:HI jaiye:HI aaega:HI baad:HI me:HI lene:HI ladka:HI aur:HI ladki:HI ko:HI samjhaiye:HI meri:HI bahan:HI video:EN dekh:HI rahi:HI thi:HI main:HI chali:HI gai:HI room:EN me:HI mai:HI dekhi:HI bhag:HI ke:HI bahar:HI aagai:HI chhi:HI didi:HI kya:HI dekh:HI rahi:HI,video,chhi didi kya dekh rahi,0.15,0.7
190,aman history ki kise padi h inhone apne fayde ke hisaab se pic share krdi sir ji buzurg h pension ka sahara b to chahiye islye lge rehte h dalali krne kya pta koi pad mil jaye,aman:HI history:EN ki:HI kise:HI padi:HI h:EN inhone:HI apne:HI fayde:HI ke:HI hisaab:HI se:HI pic:EN share:EN krdi:HI sir:HI ji:HI buzurg:HI h:EN pension:EN ka:HI sahara:EN b:EN to:EN chahiye:HI islye:HI lge:HI rehte:HI h:EN dalali:HI krne:HI kya:HI pta:HI koi:HI pad:HI mil:HI jaye:HI,history,kise padi h,0.35,0.4
457,mukesh sit mein aapse 101 sahmat hun aur agar mughalon ko etana achha kuchh aata to apne desh mein banakar khada karte ye sab hamaare saath etihasik dhokha hai desh ke adbhut mandir jinka koi kisi ko pata nahi hone diya saare jahan se achha hindostan hamara,mukesh:HI sit:EN mein:HI aapse:HI 101:EN sahmat:EN hun:HI aur:HI agar:HI mughalon:HI ko:HI etana:EN achha:HI kuchh:HI aata:HI to:HI apne:HI desh:HI mein:HI banakar:HI khada:HI karte:HI ye:HI sab:HI hamaare:HI saath:HI etihasik:HI dhokha:HI hai:HI desh:HI ke:HI adbhut:HI mandir:HI jinka:HI koi:HI kisi:HI ko:HI pata:HI nahi:HI hone:HI diya:HI saare:HI jahan:HI se:HI achha:HI hindostan:EN hamara:HI,mandir,desh ke adbhut mandir jinka koi kisi ko pata nahi hone diya,0.494,0.521
402,ab general kishan in 2000 se apne bachche ache school me padha sakta he jahan general hone ke naam par ushke bache sabshe jayada merit laaye aur sabshe jyada fee 2 se 3 lakh de kyoki usko jaatiwaad ke naam par aap log jitna daba rahe ho ab wo sochta hoga kyo india me paida hua,ab:HI general:EN kishan:HI in:EN 2000:EN se:HI apne:HI bachche:HI ache:HI school:EN me:HI padha:HI sakta:HI he:HI jahan:HI general:EN hone:HI ke:HI naam:HI par:HI ushke:HI bache:HI sabshe:HI jayada:HI merit:EN laaye:HI aur:HI sabshe:HI jyada:HI fee:EN 2:EN se:HI 3:EN lakh:HI de:HI kyoki:HI usko:HI jaatiwaad:HI ke:HI naam:HI par:HI aap:HI log:HI jitna:HI daba:HI rahe:HI ho:HI ab:HI wo:HI sochta:HI hoga:HI kyo:HI india:EN me:HI paida:HI hua:HI,india,kyo india me paida hua,0.05,0.8
